state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458665,PC MAGALHÃES,,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,50,FB,,,760,152312201350,24,25,13,-1.5,X,49,152312201350,251,-1.44639,-48.49444,G,2025-08-28,2008-06-19,,378dd5f8be8b0221,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458665,PC MAGALHÃES,,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,150,FB,,,760,152312201350,24,25,13,-4,X,49,152312201350,251,-1.44639,-48.49444,G,2025-08-28,2008-06-19,,378dd5f8be8b0222,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458665,PC MAGALHÃES,,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,280,FB,,,760,152312201350,24,25,13,-3,X,49,152312201350,251,-1.44639,-48.49444,G,2025-08-28,2008-06-19,,378dd5f8be8b0223,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690399626,TV QUINTINO BOCAIÚVA,,PA,1501402,90M0G7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,24,28,13,0,X,65,163992101350,200,-1.45019,-48.48836,G,2023-09-06,2008-06-12,,378dd5f8be8b0281,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690399626,TV QUINTINO BOCAIÚVA,,PA,1501402,90M0G7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,24,28,13,-5,X,65,163992101350,200,-1.45019,-48.48836,G,2023-09-06,2008-06-12,,378dd5f8be8b0282,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690399626,TV QUINTINO BOCAIÚVA,,PA,1501402,90M0G7W,NR,SA-NSA,,3350,3350,240,FB,,,760,,24,28,13,-5,X,65,163992101350,200,-1.45019,-48.48836,G,2023-09-06,2008-06-12,,378dd5f8be8b0283,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690463537,TV DOUTOR MORAES,ESQUINA COM A CARIPUNAS,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,50,FB,,,760,,24,28,13,-1.5,X,28,163992101350,200,-1.46104,-48.48589,G,2023-09-18,2008-07-08,,378dd5f8be8b02c9,2027-08-25,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690463537,TV DOUTOR MORAES,ESQUINA COM A CARIPUNAS,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,180,FB,,,760,,24,28,13,-1.5,X,28,163992101350,200,-1.46104,-48.48589,G,2023-09-18,2008-07-08,,378dd5f8be8b02ca,2027-08-25,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690463537,TV DOUTOR MORAES,ESQUINA COM A CARIPUNAS,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,280,FB,,,760,,24,28,13,-1.5,X,28,163992101350,200,-1.46104,-48.48589,G,2023-09-18,2008-07-08,,378dd5f8be8b02cb,2027-08-25,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690463952,AV PRESIDENTE VARGAS,ED. RENASCENÇA,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,180,FB,,,760,,24,28,13,-4,X,40,163992101350,200,-1.45222,-48.4964,G,2024-04-04,2008-07-08,,378dd5f8be8b0317,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690463952,AV PRESIDENTE VARGAS,ED. RENASCENÇA,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,300,FB,,,760,,24,28,13,-2,X,40,163992101350,200,-1.45222,-48.4964,G,2024-04-04,2008-07-08,,378dd5f8be8b0318,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690463952,AV PRESIDENTE VARGAS,ED. RENASCENÇA,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,60,FB,,,760,,24,28,13,-2,X,40,163992101350,200,-1.45222,-48.4964,G,2024-04-04,2008-07-08,,378dd5f8be8b0319,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,692257225,R DOS TAMOIOS,,PA,1501402,70M0G7W,NR,SA-NSA,,3350,3350,60,FB,,,760,,24,28,13,-4.5,X,65,163992101350,200,-1.46223,-48.4919,G,2023-09-12,2010-04-06,,378dd5f8be8b0433,2029-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,692257225,R DOS TAMOIOS,,PA,1501402,70M0G7W,NR,SA-NSA,,3350,3350,160,FB,,,760,,24,28,13,-5.5,X,65,163992101350,200,-1.46223,-48.4919,G,2023-09-12,2010-04-06,,378dd5f8be8b0434,2029-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,692257225,R DOS TAMOIOS,,PA,1501402,70M0G7W,NR,SA-NSA,,3350,3350,280,FB,,,760,,24,28,13,-3.5,X,65,163992101350,200,-1.46223,-48.4919,G,2023-09-12,2010-04-06,,378dd5f8be8b0435,2029-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,692374574,AV SERZEDELO CORREA,EDÍFICIO DELTA GARDEN,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,180,FB,,,760,,24,28,13,-4.5,X,71,163992101350,200,-1.45626,-48.49064,G,2023-09-06,2010-05-21,,378dd5f8be8b0442,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,692374574,AV SERZEDELO CORREA,EDÍFICIO DELTA GARDEN,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,210,FB,,,760,,24,28,13,-6,X,71,163992101350,200,-1.45626,-48.49064,G,2023-09-06,2010-05-21,,378dd5f8be8b0443,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,692374574,AV SERZEDELO CORREA,EDÍFICIO DELTA GARDEN,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,24,28,13,-6,X,71,163992101350,200,-1.45626,-48.49064,G,2023-09-06,2010-05-21,,378dd5f8be8b0444,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690407297,TV SÃO PEDRO,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,24,28,13,-4,X,40.8,163992101350,200,-1.45903,-48.4959,G,2025-08-28,2008-06-12,,378dd5f8be8b0490,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690407297,TV SÃO PEDRO,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,24,28,13,-1.5,X,40.8,163992101350,200,-1.45903,-48.4959,G,2025-08-28,2008-06-12,,378dd5f8be8b0491,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690407297,TV SÃO PEDRO,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,240,FB,,,760,,24,28,13,-1.5,X,40.8,163992101350,200,-1.45903,-48.4959,G,2025-08-28,2008-06-12,,378dd5f8be8b0492,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458533,AV ENGENHEIRO FERNANDO GUILHON,PASSAGEM DOLORES  6 / SITE GPON,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,24,28,13,0,X,50,163992101350,200,-1.46555,-48.48666,G,2023-09-06,2008-06-19,,378dd5f8be8b04e1,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458533,AV ENGENHEIRO FERNANDO GUILHON,PASSAGEM DOLORES  6 / SITE GPON,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,24,28,13,0,X,50,163992101350,200,-1.46555,-48.48666,G,2023-09-06,2008-06-19,,378dd5f8be8b04e2,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458533,AV ENGENHEIRO FERNANDO GUILHON,PASSAGEM DOLORES  6 / SITE GPON,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,240,FB,,,760,,24,28,13,0,X,50,163992101350,200,-1.46555,-48.48666,G,2023-09-06,2008-06-19,,378dd5f8be8b04e3,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690507380,TV CAMPOS SALES,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,24,28,13,-3,X,50,163992101350,200,-1.4525,-48.50031,G,2024-04-04,2008-07-29,,378dd5f8be8b05d1,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690507380,TV CAMPOS SALES,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,130,FB,,,760,,24,28,13,-6,X,50,163992101350,200,-1.4525,-48.50031,G,2024-04-04,2008-07-29,,378dd5f8be8b05d2,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690507380,TV CAMPOS SALES,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,270,FB,,,760,,24,28,13,-3,X,50,163992101350,200,-1.4525,-48.50031,G,2024-04-04,2008-07-29,,378dd5f8be8b05d3,2041-12-08,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690407114,AV COMANDANTE BRAS DE AGUIAR,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,30,FB,,,760,,24,28,13,-3.5,X,45,163992101350,200,-1.45433,-48.48589,G,2023-09-06,2008-06-12,,378dd5f8be8b06ca,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690407114,AV COMANDANTE BRAS DE AGUIAR,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,150,FB,,,760,,24,28,13,-2.5,X,40,163992101350,200,-1.45433,-48.48589,G,2023-09-06,2008-06-12,,378dd5f8be8b06cb,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690407114,AV COMANDANTE BRAS DE AGUIAR,,PA,1501402,80M0G7W,NR,SA-NSA,,3350,3350,270,FB,,,760,,24,28,13,-3.5,X,40,163992101350,200,-1.45433,-48.48589,G,2023-09-06,2008-06-12,,378dd5f8be8b06cc,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458991,AV ALCINDO CACELA,,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,24,28,13,-2.5,X,41,163992101350,200,-1.44694,-48.47781,G,2023-09-06,2006-06-19,,378dd5f8be8b0703,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458991,AV ALCINDO CACELA,,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,140,FB,,,760,,24,28,13,-2.5,X,41,163992101350,200,-1.44694,-48.47781,G,2023-09-06,2006-06-19,,378dd5f8be8b0704,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690458991,AV ALCINDO CACELA,,PA,1501402,100MG7W,NR,SA-NSA,,3350,3350,250,FB,,,760,,24,28,13,-2.5,X,41,163992101350,200,-1.44694,-48.47781,G,2023-09-06,2006-06-19,,378dd5f8be8b0705,2027-10-18,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690462980,AV GENTIL BITTENCOURT,,PA,1501402,40M0G7W,NR,SA-NSA,,3350,3350,100,FB,,,760,,24,28,13,-4,X,63.5,163992101350,200,-1.45444,-48.47305,G,2023-09-05,2008-07-08,,378dd5f8be8b078d,2027-08-25,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690462980,AV GENTIL BITTENCOURT,,PA,1501402,40M0G7W,NR,SA-NSA,,3350,3350,220,FB,,,760,,24,28,13,-5,X,63.5,163992101350,200,-1.45444,-48.47305,G,2023-09-05,2008-07-08,,378dd5f8be8b078e,2027-08-25,,,Belém
LIC-LIC-01,CLARO S.A.,50409307637,010,105752021,690462980,AV GENTIL BITTENCOURT,,PA,1501402,40M0G7W,NR,SA-NSA,,3350,3350,340,FB,,,760,,24,28,13,-4,X,63.5,163992101350,200,-1.45444,-48.47305,G,2023-09-05,2008-07-08,,378dd5f8be8b078f,2027-08-25,,,Belém
