state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,684688522,R CLÁUDIO DA COSTA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,20,FB,,,760,072202203257,23.5,25,60,0,X,60,072202203257,50,-8.76908,-63.8397,G,2023-10-09,2004-12-13,,212cf5f85cca771f,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,684688522,R CLÁUDIO DA COSTA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,160,FB,,,760,072202203257,23.5,25,60,0,X,60,072202203257,50,-8.76908,-63.8397,G,2023-10-09,2004-12-13,,212cf5f85cca7720,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,691488134,R DO OURO,QUADRA 21 - LOTEAMENTO CONJUNTO MARECHAL RONDON,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,0,FB,,,760,072202203257,23.5,25,60,0,X,42,072202203257,50,-8.74252,-63.87269,G,2024-12-18,2009-06-18,,212cf5f85cca7794,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,691488134,R DO OURO,QUADRA 21 - LOTEAMENTO CONJUNTO MARECHAL RONDON,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,140,FB,,,760,072202203257,23.5,25,60,0,X,42,072202203257,50,-8.74252,-63.87269,G,2024-12-18,2009-06-18,,212cf5f85cca7795,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,691488134,R DO OURO,QUADRA 21 - LOTEAMENTO CONJUNTO MARECHAL RONDON,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,240,FB,,,760,072202203257,23.5,25,60,0,X,42,072202203257,50,-8.74252,-63.87269,G,2024-12-18,2009-06-18,,212cf5f85cca7796,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,684688468,R RAFAEL VAZ E SILVA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,15,FB,,,760,072202203257,23.5,25,60,-1,X,50,072202203257,50,-8.75153,-63.8912,G,2023-10-09,2004-12-13,,c825c5f80eb9ecbe,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,684688468,R RAFAEL VAZ E SILVA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,100,FB,,,760,072202203257,23.5,25,60,-1,X,50,072202203257,50,-8.75153,-63.8912,G,2023-10-09,2004-12-13,,c825c5f80eb9ecbf,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,684688468,R RAFAEL VAZ E SILVA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,260,FB,,,760,072202203257,23.5,25,60,-1,X,50,072202203257,50,-8.75153,-63.8912,G,2023-10-09,2004-12-13,,c825c5f80eb9ecc0,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,687534267,R RAIMUNDO CANTUÁRIA,ANTIGA QUADRA 10,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,20,FB,,,760,072202203257,23.5,25,60,-1,X,50,072202203257,50,-8.75868,-63.8443,G,2023-10-09,2005-11-04,,c825c5f80eb9ed03,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,687534267,R RAIMUNDO CANTUÁRIA,ANTIGA QUADRA 10,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,145,FB,,,760,072202203257,23.5,25,60,-1,X,50,072202203257,50,-8.75868,-63.8443,G,2023-10-09,2005-11-04,,c825c5f80eb9ed04,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,687534267,R RAIMUNDO CANTUÁRIA,ANTIGA QUADRA 10,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,255,FB,,,760,072202203257,23.5,25,60,-1,X,50,072202203257,50,-8.75868,-63.8443,G,2023-10-09,2005-11-04,,c825c5f80eb9ed05,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,699792460,RUA PETROLINA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,20,FB,,,760,072202203257,23.5,25,60,0,X,60,072202203257,50,-8.77744,-63.81616,G,2023-10-16,2014-03-26,,c825c5f80eb9ed36,2027-07-02,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,699792460,RUA PETROLINA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,150,FB,,,760,072202203257,23.5,25,60,0,X,60,072202203257,50,-8.77744,-63.81616,G,2023-10-16,2014-03-26,,c825c5f80eb9ed37,2027-07-02,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,699792460,RUA PETROLINA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,290,FB,,,760,072202203257,23.5,25,60,0,X,60,072202203257,50,-8.77744,-63.81616,G,2023-10-16,2014-03-26,,c825c5f80eb9ed38,2027-07-02,,,Porto Velho
