Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 22:52:13 |  0  |    1130     |     837     |      0      |     86      |        7        |      56       |       0       |      10       |        6        |       1        |       0        |      140       |        0        |        0        |      0      |      0      |    1974     |
| 22:52:14 |  0  |     655     |     461     |      0      |     44      |        4        |      30       |       0       |       7       |        3        |       1        |       0        |      112       |        0        |        0        |      0      |      0      |    1582     |
| 22:52:15 |  0  |     627     |     437     |      0      |     38      |        5        |      28       |       0       |       6       |        5        |       1        |       0        |      117       |        0        |        0        |      0      |      0      |    1652     |
| 22:52:16 |  0  |     882     |     632     |      0      |     40      |        7        |      42       |       0       |       7       |        5        |       0        |       0        |      161       |        0        |        0        |      0      |      0      |    2254     |
| 22:52:17 |  0  |     658     |     474     |      0      |     30      |        1        |      35       |       0       |       1       |        1        |       3        |       0        |      115       |        0        |        0        |      0      |      0      |    1652     |
| 22:52:18 |  0  |     366     |     235     |      0      |     17      |        5        |      15       |       0       |       4       |        5        |       4        |       0        |       91       |        0        |        0        |      0      |      0      |    1330     |
| 22:52:19 |  0  |     290     |     144     |      0      |     10      |        1        |      11       |       0       |       0       |        1        |       4        |       0        |      121       |        0        |        0        |      0      |      0      |    1750     |
| 22:52:20 |  0  |     395     |     264     |      0      |     16      |        2        |      19       |       0       |       1       |        2        |       5        |       0        |       90       |        0        |        0        |      0      |      0      |    1330     |
| 22:52:21 |  0  |     578     |     388     |      0      |     33      |        4        |      29       |       0       |       2       |        2        |       3        |       0        |      123       |        0        |        0        |      0      |      0      |    1764     |
| 22:52:22 |  0  |     597     |     418     |      0      |     24      |        1        |      30       |       0       |       2       |        0        |       2        |       0        |      121       |        0        |        0        |      0      |      0      |    1722     |
| 22:52:23 |  0  |     500     |     338     |      0      |     36      |        4        |      27       |       0       |       1       |        2        |       2        |       0        |       96       |        0        |        0        |      0      |      0      |    1372     |
| 22:52:24 |  0  |     403     |     267     |      0      |     14      |        3        |      19       |       0       |       3       |        0        |       2        |       0        |       98       |        0        |        0        |      0      |      0      |    1400     |
| 22:52:25 |  0  |     903     |     700     |      0      |     36      |        5        |      53       |       0       |       2       |        2        |       4        |       0        |      108       |        0        |        0        |      0      |      0      |    1568     |
