Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 21:30:04 |  0  |     900     |     667     |      0      |     18      |        6        |      50       |       0       |       0       |        2        |       7        |       0        |      158       |        0        |        0        |      0      |      0      |    2310     |
| 21:30:05 |  0  |     284     |     150     |      0      |      4      |        4        |      11       |       0       |       0       |        4        |       8        |       0        |      111       |        0        |        0        |      0      |      0      |    1666     |
| 21:30:06 |  0  |     499     |     322     |      0      |      0      |        6        |      23       |       0       |       0       |        4        |       6        |       0        |      148       |        0        |        0        |      0      |      0      |    2156     |
| 21:30:07 |  0  |     459     |     290     |      0      |      0      |        5        |      21       |       0       |       0       |        2        |       13       |       0        |      135       |        0        |        0        |      0      |      0      |    2072     |
| 21:30:08 |  0  |     308     |     181     |      0      |      1      |        4        |      13       |       0       |       0       |        0        |       4        |       0        |      109       |        0        |        0        |      0      |      0      |    1582     |
| 21:30:09 |  0  |     664     |     518     |      0      |      0      |        6        |      37       |       0       |       0       |        4        |       2        |       0        |      107       |        0        |        0        |      0      |      0      |    1526     |
| 21:30:10 |  0  |     384     |     238     |      0      |      0      |        1        |      17       |       0       |       0       |        1        |       7        |       0        |      122       |        0        |        0        |      0      |      0      |    1806     |
| 21:30:11 |  0  |     594     |     456     |      0      |      0      |        4        |      33       |       0       |       0       |        4        |       7        |       0        |       98       |        0        |        0        |      0      |      0      |    1470     |
| 21:30:12 |  0  |     438     |     280     |      0      |      0      |        3        |      20       |       0       |       0       |        1        |       6        |       0        |      132       |        0        |        0        |      0      |      0      |    1932     |
| 21:30:13 |  0  |     467     |     328     |      0      |      0      |        3        |      24       |       0       |       0       |        2        |       7        |       0        |      108       |        0        |        0        |      0      |      0      |    1596     |
| 21:30:14 |  0  |     402     |     248     |      0      |      0      |        2        |      19       |       0       |       0       |        0        |       2        |       0        |      133       |        0        |        0        |      0      |      0      |    1904     |
| 21:30:15 |  0  |     236     |     98      |      0      |      0      |        3        |       7       |       0       |       0       |        3        |       6        |       0        |      125       |        0        |        0        |      0      |      0      |    1834     |
| 21:30:16 |  0  |     590     |     430     |      0      |      4      |        3        |      32       |       0       |       0       |        0        |       6        |       0        |      118       |        0        |        0        |      0      |      0      |    1736     |
| 21:30:17 |  0  |     612     |     467     |      0      |      0      |        5        |      33       |       0       |       0       |        5        |       5        |       0        |      107       |        0        |        0        |      0      |      0      |    1568     |
| 21:30:18 |  0  |     446     |     302     |      0      |      0      |        3        |      22       |       0       |       0       |        2        |       4        |       0        |      118       |        0        |        0        |      0      |      0      |    1708     |
| 21:30:19 |  0  |     567     |     407     |      0      |      1      |        6        |      30       |       0       |       0       |        2        |       5        |       0        |      124       |        0        |        0        |      0      |      0      |    1806     |
| 21:30:20 |  0  |     607     |     461     |      0      |      1      |        2        |      33       |       0       |       0       |        2        |       4        |       0        |      108       |        0        |        0        |      0      |      0      |    1568     |
| 21:30:21 |  0  |     321     |     172     |      0      |      0      |        3        |      12       |       0       |       0       |        1        |       6        |       0        |      131       |        0        |        0        |      0      |      0      |    1918     |
| 21:30:22 |  0  |     448     |     320     |      0      |      2      |        7        |      24       |       0       |       0       |        0        |       3        |       0        |       99       |        0        |        0        |      0      |      0      |    1428     |
| 21:30:23 |  0  |     932     |     784     |      0      |      0      |        6        |      56       |       0       |       0       |        4        |       4        |       0        |       88       |        0        |        0        |      0      |      0      |    1288     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 21:30:24 |  0  |     404     |     308     |      0      |      0      |        4        |      22       |       0       |       0       |        4        |       3        |       0        |       71       |        0        |        0        |      0      |      0      |    1036     |
| 21:30:25 |  0  |     504     |     350     |      0      |      0      |        1        |      25       |       0       |       0       |        1        |       2        |       0        |      127       |        0        |        0        |      0      |      0      |    1806     |
| 21:30:26 |  0  |     508     |     326     |      0      |      0      |        3        |      24       |       0       |       0       |        3        |       5        |       0        |      153       |        0        |        0        |      0      |      0      |    2212     |
| 21:30:27 |  0  |     372     |     255     |      0      |      1      |        2        |      17       |       0       |       0       |        2        |       6        |       0        |       93       |        0        |        0        |      0      |      0      |    1386     |
| 21:30:28 |  0  |     358     |     224     |      0      |      0      |        2        |      17       |       0       |       0       |        1        |       4        |       0        |      113       |        0        |        0        |      0      |      0      |    1638     |
| 21:30:29 |  0  |     509     |     364     |      0      |      0      |        2        |      26       |       0       |       0       |        2        |       4        |       0        |      115       |        0        |        0        |      0      |      0      |    1666     |
| 21:30:30 |  0  |     426     |     295     |      0      |      0      |        3        |      21       |       0       |       1       |        2        |       5        |       0        |      104       |        0        |        0        |      0      |      0      |    1526     |
| 21:30:31 |  0  |     396     |     238     |      0      |      0      |        1        |      17       |       0       |       0       |        1        |       4        |       0        |      137       |        0        |        0        |      0      |      0      |    1974     |
