NumEstacao,Lat,Lon,bandwidth,N_Latitude,N_Longitude,Latitudes,Longitudes,N_Designacoes,Designacoes,N_Setores,Setores
690392508,-1.4625,-48.50077,100,1,1,-1.4625,-48.50077,1,100MG7W,3,130.0;250.0;40.0
690393148,-1.40034,-48.49065,100,1,1,-1.40034,-48.49065,1,100MG7W,3,10.0;100.0;200.0
690393156,-1.46312,-48.47894,100,1,1,-1.46312,-48.47894,1,100MG7W,3,0.0;120.0;240.0
690393326,-1.37214,-48.47935,100,1,1,-1.37214,-48.47935,1,100MG7W,3,0.0;120.0;220.0
690393385,-1.33022,-48.47576,100,1,1,-1.33022,-48.47576,1,100MG7W,3,0.0;120.0;240.0
690394012,-1.39638,-48.43458,100,1,1,-1.39638,-48.43458,1,100MG7W,3,0.0;120.0;240.0
690394268,-1.42683,-48.45574,100,1,1,-1.42683,-48.45574,1,100MG7W,3,140.0;20.0;300.0
690398328,-1.27741,-48.47403,50,1,1,-1.27741,-48.47403,1,50M0G7W,3,0.0;160.0;240.0
690399626,-1.45019,-48.48836,100,1,1,-1.45019,-48.48836,1,100MG7W,3,0.0;120.0;240.0
690405014,-1.44044,-48.4854,100,1,1,-1.44044,-48.4854,1,100MG7W,3,140.0;20.0;250.0
690405472,-1.40369,-48.432,100,1,1,-1.40369,-48.432,1,100MG7W,3,200.0;320.0;80.0
690407114,-1.45433,-48.48589,100,1,1,-1.45433,-48.48589,1,100MG7W,3,150.0;270.0;30.0
690407297,-1.45903,-48.4959,100,1,1,-1.45903,-48.4959,1,100MG7W,3,0.0;120.0;240.0
690408617,-1.43172,-48.44692,100,1,1,-1.43172,-48.44692,1,100MG7W,3,140.0;270.0;30.0
690409044,-1.46667,-48.4681,100,1,1,-1.46667,-48.4681,1,100MG7W,3,180.0;280.0;70.0
690409079,-1.36696,-48.42791,100,1,1,-1.36696,-48.42791,1,100MG7W,3,150.0;20.0;270.0
690458444,-1.46661,-48.49725,50,1,1,-1.46661,-48.49725,2,100MG7W;50M0G7W,3,140.0;20.0;260.0
690458487,-1.45753,-48.50486,100,1,1,-1.45753,-48.50486,1,100MG7W,3,0.0;220.0;70.0
690458533,-1.46555,-48.48666,100,1,1,-1.46555,-48.48666,1,100MG7W,3,0.0;120.0;240.0
690458657,-1.46143,-48.47064,100,1,1,-1.46143,-48.47064,1,100MG7W,3,150.0;270.0;30.0
690458665,-1.44639,-48.49444,100,1,1,-1.44639,-48.49444,1,100MG7W,3,150.0;280.0;50.0
690458991,-1.44694,-48.47781,100,1,1,-1.44694,-48.47781,1,100MG7W,3,0.0;140.0;250.0
690459025,-1.45242,-48.46722,100,1,1,-1.45242,-48.46722,1,100MG7W,3,0.0;140.0;260.0
690459076,-1.43508,-48.47346,100,1,1,-1.43508,-48.47346,1,100MG7W,3,0.0;120.0;240.0
690459122,-1.43,-48.48306,100,1,1,-1.43,-48.48306,1,100MG7W,3,0.0;120.0;240.0
690459149,-1.43944,-48.46556,50,1,1,-1.43944,-48.46556,2,100MG7W;50M0G7W,3,100.0;210.0;350.0
690459238,-1.43778,-48.45778,50,1,1,-1.43778,-48.45778,2,100MG7W;50M0G7W,3,140.0;20.0;260.0
690459246,-1.42802,-48.46162,100,1,1,-1.42802,-48.46162,1,100MG7W,3,180.0;300.0;60.0
690459980,-1.42306,-48.46832,100,1,1,-1.42306,-48.46832,1,100MG7W,3,10.0;140.0;270.0
690461062,-1.41916,-48.47733,100,1,1,-1.41916,-48.47733,1,100MG7W,3,0.0;120.0;260.0
690461070,-1.41306,-48.46806,100,1,1,-1.41306,-48.46806,1,100MG7W,3,140.0;270.0;30.0
690461399,-1.41799,-48.44876,100,1,1,-1.41799,-48.44876,1,100MG7W,3,0.0;120.0;240.0
690461526,-1.40885,-48.44131,100,1,1,-1.40885,-48.44131,1,100MG7W,3,170.0;20.0;280.0
690461909,-1.40783,-48.42769,100,1,1,-1.40783,-48.42769,1,100MG7W,3,110.0;200.0;340.0
690461933,-1.39944,-48.4744,100,1,1,-1.39944,-48.4744,1,100MG7W,3,160.0;280.0;40.0
690461968,-1.3846,-48.45899,100,1,1,-1.3846,-48.45899,1,100MG7W,3,0.0;120.0;240.0
690462000,-1.37885,-48.43845,100,1,1,-1.37885,-48.43845,1,100MG7W,3,185.0;320.0;85.0
690462042,-1.36204,-48.4462,100,1,1,-1.36204,-48.4462,1,100MG7W,3,170.0;290.0;50.0
690462190,-1.3475,-48.45778,100,1,1,-1.3475,-48.45778,1,100MG7W,3,180.0;270.0;30.0
690462212,-1.33389,-48.44833,100,1,1,-1.33389,-48.44833,1,100MG7W,3,140.0;20.0;260.0
690462271,-1.31251,-48.45086,100,1,1,-1.31251,-48.45086,1,100MG7W,3,160.0;270.0;50.0
690462301,-1.30181,-48.48661,100,1,1,-1.30181,-48.48661,1,100MG7W,3,0.0;200.0;90.0
690462310,-1.29165,-48.4529,100,1,1,-1.29165,-48.4529,1,100MG7W,3,120.0;240.0;40.0
690462344,-1.30027,-48.46583,50,1,1,-1.30027,-48.46583,1,50M0G7W,3,180.0;300.0;60.0
690462352,-1.25996,-48.4657,100,1,1,-1.25996,-48.4657,1,100MG7W,2,0.0;240.0
690462905,-1.1618,-48.46738,100,1,1,-1.1618,-48.46738,1,100MG7W,3,0.0;120.0;250.0
690462913,-1.14291,-48.45995,100,1,1,-1.14291,-48.45995,1,100MG7W,3,200.0;320.0;60.0
690462964,-1.12079,-48.42847,100,1,1,-1.12079,-48.42847,1,100MG7W,3,10.0;140.0;260.0
690462980,-1.45444,-48.47305,100,1,1,-1.45444,-48.47305,1,100MG7W,3,100.0;220.0;340.0
690463014,-1.438,-48.49188,50,1,1,-1.438,-48.49188,2,100MG7W;50M0G7W,3,200.0;330.0;80.0
690463030,-1.43696,-48.48798,100,1,1,-1.43696,-48.48798,1,100MG7W,3,200.0;330.0;80.0
690463464,-1.4483,-48.46168,100,1,1,-1.4483,-48.46168,1,100MG7W,3,150.0;290.0;50.0
690463537,-1.46104,-48.48589,100,1,1,-1.46104,-48.48589,1,100MG7W,3,180.0;280.0;50.0
690463910,-1.4425,-48.47305,100,1,1,-1.4425,-48.47305,1,100MG7W,3,0.0;120.0;240.0
690463952,-1.45222,-48.4964,100,1,1,-1.45222,-48.4964,1,100MG7W,3,180.0;300.0;60.0
690463995,-1.4425,-48.48805,100,1,1,-1.4425,-48.48805,1,100MG7W,3,140.0;20.0;280.0
690464010,-1.44647,-48.47159,50,1,1,-1.44647,-48.47159,1,50M0G7W,3,180.0;300.0;60.0
690472803,-1.31032,-48.47439,100,1,1,-1.31032,-48.47439,1,100MG7W,3,0.0;120.0;240.0
690474083,-1.4721,-48.47829,50,1,1,-1.4721,-48.47829,1,50M0G7W,3,150.0;270.0;30.0
690474113,-1.46467,-48.44896,100,1,1,-1.46467,-48.44896,1,100MG7W,3,180.0;30.0;300.0
690474296,-1.40023,-48.45403,100,1,1,-1.40023,-48.45403,1,100MG7W,3,180.0;300.0;60.0
690474768,-1.39333,-48.3948,100,1,1,-1.39333,-48.3948,1,100MG7W,3,0.0;120.0;240.0
690476507,-1.40499,-48.48263,100,1,1,-1.40499,-48.48263,1,100MG7W,3,10.0;130.0;260.0
690476566,-1.35179,-48.47651,100,1,1,-1.35179,-48.47651,1,100MG7W,3,10.0;120.0;210.0
690476671,-1.35139,-48.43361,100,1,1,-1.35139,-48.43361,1,100MG7W,3,0.0;120.0;240.0
690476779,-1.32599,-48.43853,100,1,1,-1.32599,-48.43853,1,100MG7W,3,180.0;310.0;60.0
690476892,-1.07008,-48.39219,100,1,1,-1.07008,-48.39219,1,100MG7W,3,180.0;260.0;80.0
690477007,-1.06597,-48.33766,40,1,1,-1.06597,-48.33766,1,40M0G7W,3,250.0;300.0;80.0
690477090,-1.42386,-48.48739,100,1,1,-1.42386,-48.48739,1,100MG7W,3,0.0;120.0;240.0
690481624,-1.36625,-48.45757,100,1,1,-1.36625,-48.45757,1,100MG7W,3,100.0;200.0;340.0
690481845,-1.10055,-48.40083,50,1,1,-1.10055,-48.40083,1,50M0G7W,3,140.0;290.0;60.0
690487428,-1.46958,-48.4938,100,1,1,-1.46958,-48.4938,1,100MG7W,3,0.0;120.0;240.0
690487460,-1.36112,-48.46743,50,1,1,-1.36112,-48.46743,1,50M0G7W,3,160.0;290.0;35.0
690507380,-1.4525,-48.50031,100,1,1,-1.4525,-48.50031,1,100MG7W,3,0.0;130.0;270.0
690507534,-1.45839,-48.45718,100,1,1,-1.45839,-48.45718,1,100MG7W,3,0.0;120.0;240.0
690507615,-1.4488,-48.44916,100,1,1,-1.4488,-48.44916,1,100MG7W,3,150.0;250.0;340.0
690550553,-1.4455,-48.42624,100,1,1,-1.4455,-48.42624,1,100MG7W,3,0.0;150.0;240.0
690550804,-1.39041,-48.48102,50,1,1,-1.39041,-48.48102,1,50M0G7W,3,110.0;250.0;350.0
690897570,-1.40392,-48.4308,50,1,1,-1.40392,-48.4308,2,100MG7W;50M0G7W,1,0.0
690897677,-1.45804,-48.495,50,1,1,-1.45804,-48.495,2,100MG7W;50M0G7W,1,0.0
691237999,-1.32213,-48.4547,100,1,1,-1.32213,-48.4547,1,100MG7W,3,180.0;320.0;80.0
691238022,-1.47461,-48.46124,100,1,1,-1.47461,-48.46124,1,100MG7W,3,0.0;110.0;280.0
692131680,-1.44611,-48.48917,100,1,1,-1.44611,-48.48917,1,100MG7W,1,0.0
692257225,-1.46223,-48.4919,100,1,1,-1.46223,-48.4919,1,100MG7W,3,160.0;280.0;60.0
692257306,-1.43395,-48.46507,50,1,1,-1.43395,-48.46507,2,100MG7W;50M0G7W,3,0.0;120.0;240.0
692257349,-1.45187,-48.48085,100,1,1,-1.45187,-48.48085,1,100MG7W,3,200.0;300.0;80.0
692338675,-1.34185,-48.46813,100,1,1,-1.34185,-48.46813,1,100MG7W,3,120.0;20.0;240.0
692374523,-1.44573,-48.48381,100,1,1,-1.44573,-48.48381,1,100MG7W,3,120.0;220.0;30.0
692374574,-1.45626,-48.49064,100,1,1,-1.45626,-48.49064,1,100MG7W,3,0.0;180.0;210.0
692409572,-1.4584,-48.4778,100,1,1,-1.4584,-48.4778,1,100MG7W,3,150.0;270.0;30.0
692414789,-1.37502,-48.45228,100,1,1,-1.37502,-48.45228,1,100MG7W,3,160.0;270.0;40.0
692549935,-1.42124,-48.46424,100,1,1,-1.42124,-48.46424,1,100MG7W,3,190.0;310.0;80.0
692549951,-1.3063,-48.48143,100,1,1,-1.3063,-48.48143,1,100MG7W,3,170.0;310.0;50.0
692550003,-1.30383,-48.47067,100,1,1,-1.30383,-48.47067,1,100MG7W,3,180.0;310.0;60.0
692559027,-1.43861,-48.48048,100,1,1,-1.43861,-48.48048,1,100MG7W,3,0.0;120.0;240.0
692559043,-1.42928,-48.47512,100,1,1,-1.42928,-48.47512,1,100MG7W,3,190.0;310.0;70.0
692574816,-1.44582,-48.45593,100,1,1,-1.44582,-48.45593,1,100MG7W,3,120.0;250.0;350.0
692574832,-1.36196,-48.43496,100,1,1,-1.36196,-48.43496,1,100MG7W,3,190.0;310.0;70.0
692641890,-1.41726,-48.47259,100,1,1,-1.41726,-48.47259,1,100MG7W,3,200.0;330.0;80.0
692779027,-1.40488,-48.44744,100,1,1,-1.40488,-48.44744,1,100MG7W,3,0.0;120.0;240.0
692904158,-1.44006,-48.44818,50,1,1,-1.44006,-48.44818,1,50M0G7W,3,200.0;310.0;50.0
698361296,-1.25908,-48.45261,100,1,1,-1.25908,-48.45261,1,100MG7W,3,0.0;120.0;240.0
699193591,-1.37018,-48.44635,50,1,1,-1.37018,-48.44635,2,100MG7W;50M0G7W,1,0.0
1000284007,-1.42513,-48.45251,100,1,1,-1.42513,-48.45251,1,100MG7W,3,0.0;120.0;240.0
1002351640,-1.38979,-48.46458,50,1,1,-1.38979,-48.46458,2,100MG7W;50M0G7W,1,0.0
1005218541,-1.41062,-48.39267,50,1,1,-1.41062,-48.39267,1,50M0G7W,3,210.0;330.0;90.0
1005347597,-1.43041,-48.48833,100,1,1,-1.43041,-48.48833,1,100MG7W,3,170.0;290.0;50.0
1005347600,-1.42239,-48.47931,100,1,1,-1.42239,-48.47931,1,100MG7W,3,150.0;270.0;30.0
1005347619,-1.3444,-48.44502,100,1,1,-1.3444,-48.44502,1,100MG7W,3,180.0;280.0;30.0
1005379219,-1.3711,-48.43559,40,1,1,-1.3711,-48.43559,1,40M0G7W,3,180.0;270.0;30.0
1005523492,-1.45844,-48.50194,100,1,1,-1.45844,-48.50194,1,100MG7W,3,0.0;110.0;240.0
1005952903,-1.45507,-48.50057,50,1,1,-1.45507,-48.50057,2,100MG7W;50M0G7W,3,170.0;280.0;70.0
1005952911,-1.39947,-48.46154,100,1,1,-1.39947,-48.46154,1,100MG7W,3,140.0;20.0;260.0
1005952920,-1.32375,-48.46711,100,1,1,-1.32375,-48.46711,1,100MG7W,3,200.0;330.0;90.0
1005952938,-1.33806,-48.47919,100,1,1,-1.33806,-48.47919,1,100MG7W,3,200.0;330.0;90.0
1005953152,-1.41517,-48.44294,100,1,1,-1.41517,-48.44294,1,100MG7W,3,140.0;300.0;40.0
1005953748,-1.12687,-48.44576,50,1,1,-1.12687,-48.44576,2,100MG7W;50M0G7W,3,0.0;110.0;200.0
1005964995,-1.2492,-48.45315,100,1,1,-1.2492,-48.45315,1,100MG7W,3,210.0;330.0;90.0
1006009792,-1.26516,-48.43966,100,1,1,-1.26516,-48.43966,1,100MG7W,3,180.0;300.0;80.0
1006009806,-1.35358,-48.46294,100,1,1,-1.35358,-48.46294,1,100MG7W,3,190.0;310.0;90.0
1006632120,-1.33859,-48.45799,100,1,1,-1.33859,-48.45799,1,100MG7W,3,140.0;20.0;260.0
1006658162,-1.41125,-48.48514,100,1,1,-1.41125,-48.48514,1,100MG7W,3,180.0;300.0;80.0
1006658170,-1.29364,-48.46883,100,1,1,-1.29364,-48.46883,1,100MG7W,3,0.0;260.0;90.0
1006658189,-1.28416,-48.45825,100,1,1,-1.28416,-48.45825,1,100MG7W,3,130.0;230.0;40.0
1008139715,-1.42182,-48.45672,50,1,1,-1.42182,-48.45672,2,100MG7W;50M0G7W,1,0.0
1008239507,-1.45059,-48.48898,50,1,1,-1.45059,-48.48898,2,100MG7W;50M0G7W,1,0.0
1008498502,-1.47,-48.45918,100,1,1,-1.47,-48.45918,1,100MG7W,3,0.0;120.0;260.0
1009639690,-1.29248,-48.47995,100,1,1,-1.29248,-48.47995,1,100MG7W,3,160.0;260.0;60.0
1012758866,-1.42579,-48.45039,100,1,1,-1.42579,-48.45039,1,100MG7W,3,10.0;110.0;220.0
1013042279,-1.46165,-48.46395,100,1,1,-1.46165,-48.46395,1,100MG7W,3,0.0;120.0;240.0
1013121829,-1.47756,-48.48548,100,1,1,-1.47756,-48.48548,1,100MG7W,3,0.0;180.0;280.0
1013177174,-1.31772,-48.43746,100,1,1,-1.31772,-48.43746,1,100MG7W,3,160.0;280.0;30.0
1013177182,-1.43317,-48.45592,100,1,1,-1.43317,-48.45592,1,100MG7W,3,150.0;270.0;50.0
1013177190,-1.29945,-48.48069,100,1,1,-1.29945,-48.48069,1,100MG7W,3,200.0;320.0;80.0
1014295464,-1.30969,-48.48461,100,1,1,-1.30969,-48.48461,1,100MG7W,3,190.0;310.0;70.0
1014295472,-1.30576,-48.46088,100,1,1,-1.30576,-48.46088,1,100MG7W,3,190.0;310.0;70.0
1014370156,-1.4464,-48.4582,100,1,1,-1.4464,-48.4582,1,100MG7W,3,0.0;150.0;270.0
