id,Lat,Lon,bandwidth,N_Latitude,N_Longitude,Latitudes,Longitudes,N_Designacoes,Designacoes,N_Setores,Setores
1,-18.98394,-48.26286,20,1,1,-18.983944,-48.262861,2,20M0D7W;80M0D7W,3,210;270;330
2,-18.96669,-48.28195,20,1,1,-18.96669,-48.28195,2,20M0D7W;80M0D7W,3,105;185;340
3,-18.96611,-48.26722,20,1,1,-18.966111,-48.267222,2,20M0D7W;80M0D7W,3,115;200;50
4,-18.96271,-48.22864,20,1,1,-18.962714,-48.228644,2,20M0D7W;80M0D7W,3,115;210;320
5,-18.96185,-48.332,20,1,1,-18.96185,-48.332,2,20M0D7W;80M0D7W,3,110;180;320
6,-18.96111,-48.31619,20,1,1,-18.961106,-48.316186,2,20M0D7W;80M0D7W,3,180;30;320
7,-18.96022,-48.27845,20,1,1,-18.960217,-48.278447,2,20M0D7W;80M0D7W,2,260;80
8,-18.95797,-48.27706,20,1,1,-18.95797,-48.27706,2,20M0D7W;80M0D7W,1,0
9,-18.95476,-48.22545,80,1,1,-18.95476,-48.22545,1,80M0D7W,3,150;260;90
10,-18.95454,-48.29996,20,1,1,-18.954544,-48.299964,2,20M0D7W;80M0D7W,3,140;245;36
11,-18.95289,-48.23747,20,1,1,-18.95289,-48.23747,2,20M0D7W;80M0D7W,3,200;340;40
12,-18.95076,-48.27358,20,1,1,-18.95076,-48.27358,2,20M0D7W;80M0D7W,3,175;275;40
13,-18.94272,-48.24819,20,1,1,-18.94272,-48.24819,2,20M0D7W;80M0D7W,3,175;30;320
14,-18.94173,-48.30267,20,1,1,-18.94173,-48.30267,2,20M0D7W;80M0D7W,3,220;330;85
15,-18.94119,-48.27274,20,1,1,-18.94119,-48.27274,2,20M0D7W;80M0D7W,3,130;20;220
16,-18.93776,-48.33899,20,1,1,-18.93776,-48.33899,2,20M0D7W;80M0D7W,3,100;15;220
17,-18.93681,-48.28219,20,1,1,-18.936806,-48.282194,2,20M0D7W;80M0D7W,3,220;330;80
18,-18.93616,-48.29799,20,1,1,-18.93616,-48.29799,2,20M0D7W;80M0D7W,3,250;350;80
19,-18.93609,-48.24578,20,1,1,-18.93609,-48.24578,2,20M0G7W;80M0D7W,3,120;180;240
20,-18.93306,-48.23222,20,1,1,-18.93306,-48.23222,2,20M0D7W;80M0D7W,3,210;330;90
21,-18.93214,-48.31392,20,1,1,-18.93214,-48.31392,2,20M0G7W;80M0D7W,3,185;315;80
22,-18.93014,-48.24726,20,1,1,-18.93014,-48.24726,2,20M0G7W;80M0D7W,3,180;280;80
23,-18.93006,-48.22544,80,1,1,-18.930056,-48.225444,1,80M0D7W,3,145;340;55
24,-18.9264,-48.26925,20,1,1,-18.9264,-48.26925,2,20M0G7W;80M0D7W,3,160;20;230
25,-18.92543,-48.28965,20,1,1,-18.92543,-48.28965,2,20M0D7W;80M0D7W,3,106;196;330
26,-18.92501,-48.28369,20,1,1,-18.92501,-48.28369,2,20M0D7W;80M0D7W,3,100;200;340
27,-18.92414,-48.19889,20,1,1,-18.92414,-48.19889,2,20M0D7W;80M0D7W,3,230;330;50
28,-18.92361,-48.25361,20,1,1,-18.92361,-48.25361,2,20M0D7W;80M0D7W,3,100;220;346
29,-18.9235,-48.33353,20,1,1,-18.9235,-48.33353,2,20M0D7W;80M0D7W,3,180;330;60
30,-18.92302,-48.27743,20,1,1,-18.92302,-48.27743,2,20M0G7W;80M0D7W,3,140;20;240
31,-18.92293,-48.24758,20,1,1,-18.92293,-48.24758,2,20M0D7W;80M0D7W,3,100;230;360
32,-18.92171,-48.23964,20,1,1,-18.92171,-48.23964,2,20M0D7W;80M0D7W,3,100;210;330
