NumEstacao,Lat,Lon,bandwidth,O-DU
690393156,-1.46312,-48.47894,100,690462980
690394268,-1.42683,-48.45574,100,1017366087
690399626,-1.45019,-48.48836,90,690399626
690405014,-1.44044,-48.4854,70,690405014
690407114,-1.45433,-48.48589,80,1014459696
690408617,-1.43172,-48.44692,100,692904158
690458657,-1.46143,-48.47064,90,1013042279
690458665,-1.44639,-48.49444,100,690463014
690458991,-1.44694,-48.47781,100,690464010
690459025,-1.45242,-48.46722,80,1013042279
690459076,-1.43508,-48.47346,100,690459149
690459122,-1.43,-48.48306,100,1014454554
690459149,-1.43944,-48.46556,90,690459149
690459238,-1.43778,-48.45778,40,1013177182
690459246,-1.42802,-48.46162,90,1013177182
690459980,-1.42306,-48.46832,100,1014454562
690461062,-1.41916,-48.47733,90,690461062
690461070,-1.41306,-48.46806,90,1016925503
690461399,-1.41799,-48.44876,100,690461399
690462980,-1.45444,-48.47305,40,690462980
690463014,-1.438,-48.49188,100,690463014
690463030,-1.43696,-48.48798,90,690405014
690463464,-1.4483,-48.46168,100,690463464
690463910,-1.4425,-48.47305,90,690464010
690463995,-1.4425,-48.48805,100,690405014
690464010,-1.44647,-48.47159,50,690464010
690477090,-1.42386,-48.48739,100,1014454554
690507534,-1.45839,-48.45718,100,1013042279
690507615,-1.4488,-48.44916,80,692904158
692131680,-1.44611,-48.48917,100,690399626
692257306,-1.43395,-48.46507,100,690459149
692257349,-1.45187,-48.48085,80,1014459696
692374523,-1.44573,-48.48381,100,690405014
692409572,-1.4584,-48.4778,100,690462980
692549935,-1.42124,-48.46424,100,1014454562
692559027,-1.43861,-48.48048,90,690405014
692559043,-1.42928,-48.47512,100,1014454562
692574816,-1.44582,-48.45593,100,690463464
692641890,-1.41726,-48.47259,50,690461062
692904158,-1.44006,-48.44818,90,692904158
1005347597,-1.43041,-48.48833,100,1014454554
1005347600,-1.42239,-48.47931,100,690461062
1005953152,-1.41517,-48.44294,70,690461399
1006658162,-1.41125,-48.48514,100,1006658162
1008139715,-1.42182,-48.45672,80,690461399
1008239507,-1.45059,-48.48898,100,690399626
1012758866,-1.42579,-48.45039,100,1017366087
1013042279,-1.46165,-48.46395,100,1013042279
1013177182,-1.43317,-48.45592,100,1013177182
1014370156,-1.4464,-48.4582,100,690463464
1014424388,-1.44812,-48.48244,100,1014459696
1014447060,-1.43412,-48.48368,70,690463014
1014447078,-1.45253,-48.47107,100,690462980
1014454465,-1.45065,-48.46317,100,690463464
1014454490,-1.43316,-48.4704,80,690459149
1014454503,-1.44885,-48.47727,100,690464010
1014454511,-1.45885,-48.4853,90,1014459696
1014454554,-1.42517,-48.48297,100,1014454554
1014454562,-1.42636,-48.47039,100,1014454562
1014454570,-1.41428,-48.47777,100,1006658162
1014459696,-1.45316,-48.48194,100,1014459696
1014510071,-1.44424,-48.47055,100,690464010
1014510098,-1.44216,-48.44783,100,692904158
1014510101,-1.43683,-48.45467,100,1013177182
1014779046,-1.41551,-48.48732,100,1006658162
1015421706,-1.44227,-48.46186,80,690459149
1016648160,-1.4319,-48.45509,100,1013177182
1016660429,-1.41636,-48.47933,100,690461062
1016689150,-1.44685,-48.48821,100,690399626
1016689168,-1.44646,-48.46643,50,690463464
1016689176,-1.43663,-48.49232,100,690463014
1016785078,-1.4055,-48.46844,100,1016925503
1016874984,-1.41772,-48.44291,100,690461399
1016903836,-1.45155,-48.47469,100,690462980
1016904905,-1.4139,-48.45998,90,1016925503
1016904921,-1.41975,-48.45606,100,690461399
1016904930,-1.42236,-48.47416,100,690461062
1016912185,-1.44177,-48.49404,70,690463014
1016925473,-1.40811,-48.47587,100,1006658162
1016925503,-1.41524,-48.46452,100,1016925503
1016963634,-1.42465,-48.44332,40,1017366087
1017043407,-1.42278,-48.45533,100,1017366087
1017366087,-1.42513,-48.45251,90,1017366087
