id,Lat,Lon,bandwidth,O-DU
1,-22.96702,-43.04346,100,1
2,-22.96326,-43.03191,100,1
3,-22.95739,-43.02975,100,9
4,-22.9538,-43.07564,100,5
5,-22.95233,-43.06231,100,5
6,-22.95183,-43.09719,100,6
7,-22.9508,-43.0871,100,6
8,-22.94878,-43.05708,100,8
9,-22.94744,-43.02786,100,9
10,-22.9458,-43.0342,100,10
11,-22.94186,-43.04716,100,10
12,-22.94055,-43.05635,100,8
13,-22.93981,-43.02252,100,13
14,-22.9339,-43.01144,100,13
15,-22.93338,-43.06983,100,18
16,-22.92771,-43.11887,100,16
17,-22.91945,-43.09373,100,17
18,-22.918,-43.065,10,18
19,-22.91621,-43.08928,100,17
20,-22.9144,-43.09542,100,20
21,-22.91434,-43.10503,100,21
22,-22.9118,-43.1092,100,16
23,-22.91127,-43.06607,100,18
24,-22.91111,-43.07298,100,24
25,-22.9111,-43.1046,100,21
26,-22.9094,-43.10788,100,30
27,-22.9078,-43.1114,100,27
28,-22.90721,-43.11019,100,27
29,-22.9072,-43.1033,100,29
30,-22.90703,-43.10897,100,30
31,-22.90591,-43.1314,100,41
32,-22.9056,-43.1122,100,40
33,-22.90553,-43.08979,100,20
34,-22.90461,-43.05195,100,43
35,-22.90432,-43.09689,100,35
36,-22.9043,-43.1005,100,29
37,-22.90429,-43.1132,100,38
38,-22.9037,-43.1159,100,38
39,-22.90365,-43.0659,100,24
40,-22.90278,-43.11016,100,40
41,-22.9025,-43.1242,100,41
42,-22.9024,-43.1058,100,42
43,-22.90187,-43.04869,100,43
44,-22.90132,-43.11335,100,47
45,-22.9006,-43.1279,100,45
46,-22.8997,-43.0961,100,35
47,-22.89956,-43.11226,100,47
48,-22.89917,-43.09056,100,48
49,-22.89799,-43.10341,100,42
50,-22.89729,-43.07742,100,48
51,-22.8972,-43.1239,100,54
52,-22.89656,-43.1264,100,45
53,-22.8965,-43.1196,100,56
54,-22.89585,-43.12266,100,54
55,-22.8953,-43.1136,100,55
56,-22.89452,-43.1191,100,56
57,-22.8939,-43.12213,100,57
58,-22.89385,-43.11048,100,55
59,-22.89217,-43.12481,100,57
60,-22.8901,-43.1141,100,64
61,-22.88998,-43.09071,100,61
62,-22.88967,-43.09601,100,61
63,-22.8888,-43.1226,100,63
64,-22.88762,-43.11718,100,64
65,-22.88741,-43.12436,100,63
66,-22.88642,-43.02902,100,76
67,-22.88534,-43.12522,100,70
68,-22.88443,-43.06511,100,78
69,-22.8842,-43.11145,10,64
70,-22.88351,-43.12133,100,70
71,-22.8828,-43.0865,100,79
72,-22.88167,-43.10958,100,82
73,-22.8816,-43.0973,100,73
74,-22.88101,-43.08063,10,79
75,-22.87958,-43.10185,100,73
76,-22.87889,-43.04379,100,76
77,-22.87803,-43.13025,100,77
78,-22.8761,-43.0536,100,78
79,-22.87595,-43.08685,100,79
80,-22.87549,-43.08792,10,79
81,-22.87443,-43.13512,100,77
82,-22.8741,-43.1143,10,82
83,-22.87206,-43.09595,100,83
84,-22.8693,-43.1041,100,82
85,-22.8682,-43.11749,10,82
86,-22.86433,-43.09594,100,83
