O-DU,O-DU_ID,ilp_adversarial_NumRUs,ilp_adversarial_TotalLinkDistanceKM,ilp_adversarial_AggregatedLoadMHz,ilp_otimizado_NumRUs,ilp_otimizado_TotalLinkDistanceKM,ilp_otimizado_AggregatedLoadMHz,grd_adversarial_NumRUs,grd_adversarial_TotalLinkDistanceKM,grd_adversarial_AggregatedLoadMHz
690407114,1,5,4.491498,430.000000,4,1.504185,370.000000,2,4.856117,160.000000
690458657,2,5,4.903551,430.000000,4,2.549888,390.000000,5,3.372012,430.000000
690459122,3,4,2.987696,400.000000,4,1.588029,370.000000,4,3.506951,400.000000
690459980,4,5,4.327957,430.000000,4,1.583588,400.000000,4,1.583588,400.000000
690461070,5,4,3.268361,390.000000,5,2.893688,430.000000,5,2.893688,430.000000
690463014,6,4,2.564019,400.000000,5,1.861495,430.000000,5,1.861495,430.000000
692131680,7,5,3.289041,430.000000,4,1.183914,390.000000,4,4.692801,400.000000
692374523,8,4,1.973969,400.000000,4,1.772832,390.000000,4,1.750791,400.000000
692574816,9,5,3.885774,430.000000,4,1.851048,360.000000,5,5.198858,430.000000
692904158,10,5,6.723527,430.000000,4,1.980498,390.000000,4,5.780850,380.000000
1013177182,11,4,2.468716,400.000000,5,2.280729,430.000000,5,2.280729,430.000000
1014454465,12,3,1.953224,300.000000,5,2.479105,430.000000,5,2.479105,430.000000
1014454490,13,5,4.641083,430.000000,4,1.679840,380.000000,5,7.310567,430.000000
1014454570,14,4,3.228085,400.000000,4,1.551753,390.000000,4,3.495694,400.000000
1014510071,15,5,3.485410,430.000000,5,2.243035,430.000000,5,2.243035,430.000000
1014779046,16,4,3.253497,390.000000,4,2.634499,400.000000,4,2.634499,400.000000
1016874984,17,2,1.479091,200.000000,5,2.929829,410.000000,5,9.212844,430.000000
1016903836,18,5,3.952580,430.000000,5,1.887209,420.000000,4,2.668560,400.000000
1017043407,19,5,3.822215,430.000000,4,0.942458,370.000000,4,6.190207,370.000000
TOTAL,,83,66.699294,7580.000000,83,37.397623,7580.000000,83,74.012391,7580.000000
